title,artist,total_play_time
ドラマチックじゃなくても - Not As Dramatic As...,Kana Hanazawa,8m 44s
秒針を噛む / 緑仙 Cover,Ryushen,8m 43s
"悲しくてlulululu full version (ハーサカver + 原曲ver) - Ai Hayasaka insert song ""My Feelings"" | Kaguya-sama S3",Al Raposas,8m 42s
月灯り - Tsukiakari,Sora Amamiya,8m 42s
Amor Na Praia (Slowed to Perfection) (Reverb),Flame Runner,8m 41s
Kahani Suno 2.0,Kaifi Khalil,8m 40s
TERI YAADON MEIN,"KK, JALEES SHERWANI, Shreya Ghoshal, and Sajid–Wajid",8m 40s
夜に駆ける,YOASOBI,8m 37s
Ishq Hai,Anurag Saikia,8m 34s
3:59 (feat. Am I Dreaming),Amhexxa,8m 34s
Treat You Better,Shawn Mendes,8m 32s
"Better Off (Alone, Pt. III)",Alan Walker,8m 32s
生命線 - Seimeisen,ReoNa,8m 31s
光るなら - Hikarunara,Goose house,8m 28s
I AM A STAR,MC INSANE,8m 25s
カワキヲアメク - Kawakiwoameku,minami,8m 23s
Jo Tum Mere Ho,Anuv Jain,8m 23s
浮雲 - No place to stay (feat. isui),nao,8m 23s
Abhi Na Jao (Reprise),Twin Strings & Akanksha Bhandari,8m 19s
I'm a mess,MY FIRST STORY,8m 18s
"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,8m 18s
I,BUMP OF CHICKEN,8m 13s
君はスターゲイザー - kimihastargazer,Risa Ogata,8m 12s
Qatal,Guru Randhawa,8m 11s
AFTERLIFE,CYREX,8m 9s
Reflections,The Neighbourhood,8m 8s
Suniyan Suniyan,Juss,8m 7s
アンビバレント - Ambivalent,Uru,8m 4s
ラブ・ドラマティック - Love Dramatic,Miyuki Shirogane(CV:Makoto Furukawa) & Kaguya Shinomiya(CV:Aoi Koga),8m 2s
「僕は...」 - I am...,Atarayo,7m 59s
紅蓮華 - Gurenge,LiSA,7m 55s
ピースサイン - Peace Sign,Kenshi Yonezu,7m 54s
夜のせい - Yoru no Sei,Sei_Touri,7m 52s
"ギターと孤独と蒼い惑星 -We will B- Live ver. - Guitar, Loneliness and Blue Planet -We will B- Live version",kessoku band,7m 52s
こんな命がなければ - If there is not such a life,Tsukuyomi,7m 52s
Safar,Juss,7m 49s
Magnus,iCO,7m 48s
Yarr Tera Sire Da Shikari Alde | Slowed+Reverb | Slim Swagga ft. Mistake G | Latest Punjabi Song,Lo-fi Touch,7m 47s
ベテルギウス - BETELGEUSE,Yuuri,7m 41s
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,7m 40s
欠けたサファイア - Chipped sapphire,nah,7m 39s
Afsos,Anuv Jain,7m 37s
Paaro,Aditya Rikhari,7m 32s
夜に藍 - Blue,Tsukuyomi,7m 27s
